date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-19;amc;1.73;1.75;-0.88
2020-05-06;amc;1.0;0.84;19.66
2020-08-05;amc;0.86;0.72;19.35
2020-11-04;amc;1.09;0.76;43.7
2021-02-17;amc;1.17;1.12;4.47
2021-05-05;amc;1.1;0.8;38.01
2021-08-04;amc;0.89;0.83;6.79
2021-11-03;amc;1.05;0.77;37.09
2022-02-16;amc;1.01;0.99;1.85
2022-05-04;amc;2.38;1.65;43.87
2022-08-03;amc;3.45;3.25;6.02
2022-11-02;amc;7.5;6.99;7.29
2023-02-15;amc;8.62;8.37;3.02
2023-05-03;amc;10.32;7.04;46.59
2023-08-02;amc;7.33;4.52;62.22
2023-11-01;amc;2.74;3.74;-26.71
2024-02-14;amc;1.85;1.11;66.72
2024-05-01;amc;0.26;0.23;11.7
2024-07-31;amc;0.04;0.46;-91.27
2024-11-06;amc;-9.45;-4.94;-91.3
2025-02-12;amc;-1.09;-0.67;-63.0
2025-04-30;amc;-0.18;-0.68;73.52
2025-07-30;amc;0.11;-0.81;113.51
2025-11-05;amc;-1.72;-1.0;-71.43
2026-02-11;amc;-0.53;-0.49;-8.6
