date;timing;eps_actual;eps_estimated;surprise_pct
2021-02-02;amc;0.12;0.12;1.09
2021-05-05;bmo;0.15;0.14;7.14
2021-07-29;bmo;0.18;0.16;12.5
2021-10-28;bmo;0.2;0.18;11.11
2022-02-01;bmo;0.19;0.18;5.92
2022-05-09;amc;0.21;0.21;2.44
2022-07-28;bmo;0.24;0.22;7.32
2022-10-27;bmo;0.31;0.26;19.41
2023-01-31;bmo;0.35;0.32;9.6
2023-05-10;amc;0.37;0.36;2.73
2023-08-01;bmo;0.39;0.37;6.27
2023-11-02;bmo;0.4;0.37;8.11
2024-02-01;bmo;0.32;0.29;10.66
2024-05-09;bmo;0.25;0.21;17.06
2024-08-01;bmo;0.03;0.02;47.57
2024-10-31;bmo;0.08;0.06;27.37
2025-01-30;bmo;0.07;0.06;9.12
2025-05-08;bmo;0.06;0.05;19.59
2025-07-31;bmo;-0.07;;-3465.38
2025-10-30;bmo;0.13;0.12;5.37
2026-01-29;bmo;0.15;0.14;4.09
