date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-18;bmo;1.28;1.28;-0.27
2020-04-23;bmo;1.04;0.88;17.91
2020-07-23;bmo;0.92;0.83;10.84
2020-10-22;bmo;1.67;1.22;36.39
2021-02-16;bmo;1.49;1.19;25.25
2021-04-22;bmo;1.2;1.03;16.92
2021-07-22;bmo;1.32;1.3;1.34
2021-10-21;bmo;1.56;1.27;23.2
2022-02-15;bmo;1.11;1.01;9.96
2022-04-26;bmo;1.07;0.98;9.04
2022-07-28;bmo;1.37;1.33;2.71
2022-10-27;bmo;1.64;1.48;11.1
2023-02-22;bmo;1.6;1.38;16.28
2023-04-26;bmo;1.58;1.36;16.6
2023-07-26;bmo;1.76;1.72;2.6
2023-10-31;bmo;1.94;1.74;11.36
2024-02-20;bmo;1.68;1.58;6.09
2024-04-25;bmo;1.55;1.45;7.21
2024-07-24;bmo;1.96;1.84;6.3
2024-10-24;bmo;2.16;1.98;9.03
2025-02-18;bmo;1.86;1.75;6.27
2025-04-24;bmo;1.86;1.67;11.19
2025-07-24;bmo;2.04;1.99;2.67
2025-10-23;bmo;2.3;2.24;2.54
2026-02-17;bmo;1.94;1.98;-2.01
