date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-19;amc;1.05;0.87;21.1
2020-05-04;amc;1.32;1.24;6.22
2020-08-04;amc;0.37;0.34;10.33
2020-10-28;amc;0.76;0.75;0.74
2021-02-17;amc;0.74;0.74;1.06
2021-04-28;amc;1.15;0.99;15.41
2021-07-28;amc;1.1;1.13;-3.16
2021-10-27;amc;0.95;1.04;-8.66
2022-02-16;amc;1.2;1.12;7.82
2022-04-27;amc;1.48;1.27;16.3
2022-08-03;amc;1.35;1.57;-14.02
2022-10-26;amc;1.66;1.44;15.03
2023-02-15;amc;1.65;1.44;15.18
2023-04-27;amc;1.89;1.74;8.59
2023-07-27;amc;1.92;1.72;11.91
2023-10-25;amc;1.88;1.89;-0.79
2024-02-13;amc;2.04;1.5;36.23
2024-04-25;amc;2.1;1.85;13.89
2024-07-25;amc;2.22;2.03;9.2
2024-10-29;amc;2.27;2.03;12.02
2025-02-11;amc;2.05;1.93;6.0
2025-05-01;amc;2.25;1.98;13.98
2025-08-04;amc;2.25;2.22;1.37
2025-10-29;amc;1.75;1.85;-5.65
2026-02-23;amc;1.42;1.46;-2.39
