date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-12;amc;0.98;0.93;5.82
2020-05-14;amc;0.89;0.89;0.4
2020-08-13;amc;1.06;0.95;11.88
2020-11-12;amc;1.25;1.17;6.71
2021-02-18;amc;1.39;1.28;8.75
2021-05-20;amc;1.63;1.51;7.92
2021-08-19;amc;1.9;1.78;6.82
2021-11-18;amc;1.94;1.96;-0.93
2022-02-16;amc;1.89;1.85;1.89
2022-05-19;amc;1.85;1.9;-2.77
2022-08-18;amc;1.94;1.78;8.69
2022-11-17;amc;2.03;1.74;16.87
2023-02-16;amc;2.03;1.92;5.68
2023-05-18;amc;2.0;1.83;9.49
2023-08-17;amc;1.9;1.75;8.88
2023-11-16;amc;2.12;1.99;6.44
2024-02-15;amc;2.13;1.91;11.78
2024-05-16;amc;2.09;1.99;5.27
2024-08-15;amc;2.12;2.03;4.68
2024-11-14;amc;2.09;2.15;-2.98
2025-02-13;amc;2.38;2.3;3.67
2025-05-15;amc;2.39;2.31;3.45
2025-08-14;amc;2.48;2.36;5.13
2025-11-13;amc;2.17;2.09;3.65
2026-02-12;amc;2.54;2.15;18.18
