date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-10;amc;0.4;0.23;73.91
2020-04-27;amc;0.26;0.16;62.5
2020-07-27;amc;0.23;-0.02;1250.0
2020-10-26;amc;0.38;0.27;43.4
2021-02-08;amc;0.52;0.38;38.67
2021-04-26;during;0.49;0.46;5.65
2021-07-26;amc;0.51;0.47;8.49
2021-10-25;amc;0.74;0.7;5.71
2022-02-14;amc;0.88;0.66;33.33
2022-05-02;amc;0.69;0.57;21.05
2022-08-01;amc;0.51;0.48;6.25
2022-10-31;amc;1.24;0.89;39.86
2023-02-13;amc;0.67;0.7;-4.34
2023-05-01;amc;0.18;0.18;
2023-07-31;amc;0.26;0.25;5.2
2023-10-30;amc;0.54;0.51;5.37
2024-02-05;amc;0.48;0.41;16.69
2024-04-29;amc;0.24;0.13;80.86
2024-07-29;amc;0.27;0.23;19.34
2024-10-28;amc;0.49;0.5;-2.68
2025-02-10;amc;0.43;0.38;13.91
2025-04-28;amc;0.09;0.09;4.54
2025-07-28;amc;0.22;0.16;39.62
2025-10-27;amc;0.51;0.43;19.64
2026-02-09;amc;0.69;0.44;56.45
