date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;bmo;0.56;0.59;-5.81
2020-05-05;bmo;0.32;0.35;-8.57
2020-07-30;bmo;0.45;0.42;7.34
2020-10-29;bmo;0.66;0.52;27.66
2021-01-28;bmo;0.74;0.58;26.54
2021-04-29;bmo;0.6;0.57;5.27
2021-07-29;bmo;0.73;0.65;12.2
2021-10-28;bmo;0.82;0.68;20.43
2022-01-27;bmo;0.87;0.77;13.22
2022-04-28;bmo;0.77;0.75;2.81
2022-07-28;bmo;0.82;0.81;1.28
2022-10-27;bmo;0.69;0.69;-0.03
2023-01-31;bmo;0.86;0.79;8.88
2023-04-27;bmo;0.94;0.78;20.11
2023-07-27;bmo;1.01;0.9;11.76
2023-10-26;bmo;0.9;0.79;13.36
2024-01-30;bmo;0.97;0.96;1.4
2024-04-25;bmo;1.0;0.99;1.36
2024-07-23;bmo;1.06;1.06;0.01
2024-10-22;bmo;0.82;0.82;-0.05
2025-01-30;bmo;0.85;0.89;-4.77
2025-04-29;bmo;0.95;0.91;4.28
2025-07-24;bmo;1.07;0.99;7.93
2025-10-28;bmo;0.94;0.91;3.3
2026-01-29;bmo;0.9;0.85;6.39
