date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-04;bmo;0.36;0.32;12.75
2020-05-05;bmo;0.2;0.13;52.59
2020-08-04;bmo;-0.02;-0.1;79.43
2020-10-29;bmo;-0.38;-0.6;36.34
2021-01-28;bmo;-0.33;-0.35;6.31
2021-04-29;bmo;-0.06;-0.24;75.15
2021-08-03;bmo;-0.12;-0.19;38.17
2021-10-28;bmo;0.05;-0.02;313.31
2022-02-02;bmo;0.25;0.11;126.37
2022-05-04;bmo;0.4;0.2;96.57
2022-08-04;bmo;0.54;0.37;46.22
2022-11-02;bmo;0.53;0.53;-0.77
2023-02-02;bmo;0.53;0.52;2.16
2023-05-04;bmo;0.49;0.48;2.25
2023-08-02;bmo;0.59;0.55;6.76
2023-11-02;bmo;0.55;0.53;4.24
2024-02-01;bmo;0.64;0.62;2.9
2024-04-30;bmo;0.48;0.42;14.79
2024-08-06;bmo;0.6;0.58;3.34
2024-10-29;bmo;0.6;0.67;-9.88
2025-02-04;bmo;0.79;0.59;32.89
2025-05-01;bmo;0.72;0.59;21.67
2025-07-31;bmo;0.74;0.71;3.76
2025-10-28;bmo;0.85;0.74;15.24
2026-02-03;bmo;0.93;0.86;7.92
