date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-07;bmo;0.19;0.16;18.5
2020-04-29;amc;0.17;0.14;23.95
2020-07-29;amc;0.19;0.14;33.77
2020-10-27;amc;0.24;0.21;14.04
2021-02-03;amc;0.29;0.26;12.52
2021-04-28;amc;0.35;0.28;25.89
2021-07-29;amc;0.35;0.31;13.46
2021-10-28;amc;0.35;0.32;9.57
2022-02-03;amc;0.36;0.33;7.82
2022-04-28;amc;0.38;0.36;7.02
2022-07-28;amc;0.37;0.38;-1.46
2022-10-28;bmo;0.34;0.33;2.98
2023-02-03;bmo;0.32;0.3;5.95
2023-04-28;bmo;0.29;0.29;1.59
2023-07-28;bmo;0.28;0.29;-4.41
2023-10-27;bmo;0.25;0.25;-0.3
2024-02-14;bmo;0.25;0.22;12.07
2024-04-26;bmo;0.22;0.2;9.56
2024-07-26;bmo;0.25;0.23;7.68
2024-10-25;bmo;0.26;0.25;2.14
2025-02-07;bmo;0.27;0.26;4.55
2025-04-25;bmo;0.23;0.23;-0.67
2025-08-01;bmo;0.24;0.25;-2.87
2025-10-29;bmo;0.22;0.23;-2.28
2026-02-11;bmo;0.08;0.12;-31.58
