date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-29;bmo;1.73;1.69;2.12
2020-04-29;bmo;1.66;1.5;10.62
2020-07-27;bmo;1.27;1.14;11.45
2020-10-21;bmo;1.91;1.5;27.24
2021-02-03;bmo;2.27;2.11;7.56
2021-04-28;bmo;2.4;2.02;18.93
2021-07-28;bmo;2.25;2.04;10.46
2021-10-27;bmo;2.14;2.03;5.43
2022-02-02;bmo;2.13;2.12;0.28
2022-04-26;bmo;2.4;2.17;10.62
2022-07-27;bmo;2.64;2.37;11.55
2022-10-26;bmo;2.46;2.47;-0.52
2023-02-02;bmo;1.65;2.02;-18.5
2023-04-26;bmo;1.7;1.65;3.15
2023-07-25;bmo;1.92;2.08;-7.68
2023-10-25;bmo;2.1;2.1;0.01
2024-01-31;bmo;2.16;2.16;-0.2
2024-04-24;bmo;2.29;2.15;6.49
2024-07-23;bmo;2.42;2.26;6.91
2024-10-23;bmo;2.33;2.34;-0.42
2025-01-30;bmo;2.38;2.41;-1.33
2025-04-23;bmo;2.3;2.32;-0.66
2025-07-22;bmo;2.42;2.39;1.07
2025-10-22;bmo;2.37;2.33;1.91
2026-02-04;bmo;2.45;2.39;2.65
