date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-27;amc;0.41;0.38;8.63
2020-05-07;amc;0.4;0.17;128.83
2020-08-06;amc;-0.01;0.16;-106.08
2020-11-05;amc;0.4;0.2;103.71
2021-02-25;amc;1.0;0.36;179.66
2021-05-06;amc;0.31;0.21;46.9
2021-08-05;amc;0.38;0.23;62.08
2021-11-15;amc;1.17;0.26;347.25
2022-02-24;amc;0.46;0.17;174.91
2022-05-10;amc;0.45;0.29;53.21
2022-08-09;amc;0.44;0.39;13.12
2022-11-08;amc;0.6;0.49;23.41
2023-02-28;amc;0.7;0.51;37.34
2023-05-09;amc;0.88;0.54;64.43
2023-08-08;amc;1.11;0.62;78.63
2023-11-07;amc;1.02;0.76;34.78
2024-02-27;amc;1.12;0.85;31.24
2024-05-06;amc;1.15;0.95;21.64
2024-08-06;amc;1.2;0.98;22.71
2024-11-07;amc;1.45;1.2;21.03
2025-02-25;amc;2.08;1.4;48.21
2025-05-07;amc;1.41;1.28;10.25
2025-08-04;amc;2.12;1.46;45.01
2025-11-04;amc;1.17;1.54;-24.08
2026-02-24;amc;2.15;1.6;34.51
