date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-17;bmo;0.79;0.84;-6.02
2020-03-17;bmo;0.97;0.88;10.0
2020-04-30;bmo;0.82;0.74;10.95
2020-07-30;bmo;0.64;0.71;-10.06
2020-10-29;bmo;0.83;0.72;14.63
2021-02-04;bmo;0.8;0.76;4.92
2021-04-29;bmo;0.76;0.65;17.72
2021-07-29;bmo;0.8;0.75;6.92
2021-10-28;bmo;1.02;0.94;8.75
2022-02-17;bmo;1.04;1.03;1.06
2022-04-28;bmo;0.93;0.81;15.47
2022-07-28;bmo;0.87;0.87;-0.34
2022-10-27;bmo;0.82;0.81;0.65
2023-02-09;bmo;0.88;0.94;-6.06
2023-04-27;bmo;0.59;0.49;19.59
2023-07-27;bmo;-0.28;0.24;-216.67
2023-11-02;bmo;0.68;0.68;0.34
2024-02-08;bmo;0.88;0.86;1.76
2024-05-02;bmo;0.65;0.61;7.19
2024-08-06;bmo;0.68;0.66;2.68
2024-11-08;bmo;0.8;0.78;3.03
2025-02-20;bmo;0.58;0.53;9.62
2025-05-01;bmo;0.55;0.48;13.82
2025-07-31;bmo;0.59;0.61;-3.28
2025-10-30;bmo;-0.09;0.3;-130.0
2026-02-12;bmo;0.44;0.54;-17.8
