date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-27;bmo;2.9;2.76;5.13
2020-05-21;bmo;0.67;0.41;64.51
2020-08-25;bmo;1.71;1.09;56.48
2020-11-24;bmo;2.06;1.72;19.47
2021-02-25;bmo;3.48;3.45;0.87
2021-05-27;bmo;2.23;1.41;57.89
2021-08-24;bmo;2.98;1.89;57.9
2021-11-23;bmo;2.08;1.97;5.51
2022-03-03;bmo;2.73;2.71;0.9
2022-05-24;bmo;1.57;1.55;0.99
2022-08-30;bmo;1.54;1.29;19.08
2022-11-22;bmo;1.38;1.02;34.8
2023-03-02;bmo;2.61;2.14;22.05
2023-05-25;bmo;1.15;1.09;5.48
2023-08-29;bmo;1.22;1.07;13.55
2023-11-21;bmo;1.29;1.2;7.92
2024-02-29;bmo;2.72;2.5;8.67
2024-05-30;bmo;1.2;1.07;11.77
2024-08-29;bmo;1.34;1.16;15.65
2024-11-26;bmo;1.26;1.29;-2.45
2025-03-04;bmo;2.58;2.41;7.21
2025-05-29;bmo;1.15;1.1;5.02
2025-08-28;bmo;1.28;1.22;4.51
2025-11-25;bmo;1.4;1.31;6.65
2026-03-03;bmo;2.61;2.47;5.83
