date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-30;bmo;0.82;0.75;8.83
2020-04-30;bmo;0.96;0.84;13.96
2020-07-30;bmo;0.99;0.44;126.47
2020-10-29;bmo;1.8;1.38;30.87
2021-01-28;bmo;1.32;1.02;28.8
2021-04-29;bmo;2.24;1.46;53.23
2021-07-29;bmo;2.52;2.15;17.25
2021-10-28;bmo;2.07;1.95;6.02
2022-01-27;bmo;1.44;1.35;6.55
2022-04-28;bmo;2.53;2.33;8.71
2022-07-28;bmo;2.82;2.7;4.48
2022-10-27;bmo;2.67;2.64;0.95
2023-02-02;bmo;1.99;1.98;0.62
2023-04-27;bmo;2.57;2.38;7.84
2023-07-27;bmo;2.35;2.33;0.91
2023-10-26;bmo;2.42;2.36;2.48
2024-02-01;bmo;1.45;1.65;-11.9
2024-04-25;bmo;1.35;1.35;0.21
2024-07-25;bmo;1.8;1.9;-5.44
2024-10-24;bmo;0.67;1.12;-40.39
2025-01-30;bmo;-1.24;0.13;-1082.18
2025-04-24;bmo;0.3;0.09;241.76
2025-07-24;bmo;1.16;0.95;21.8
2025-10-23;bmo;0.97;0.87;11.43
2026-01-29;bmo;0.58;0.57;2.0
