date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-13;amc;2.32;2.45;-5.11
2020-05-06;amc;1.91;1.57;22.04
2020-07-30;amc;1.61;1.15;40.27
2020-10-29;amc;3.0;1.82;64.86
2021-02-11;amc;4.01;3.32;20.9
2021-04-29;amc;5.21;2.94;77.21
2021-07-29;amc;3.54;2.7;31.02
2021-10-28;amc;3.71;2.48;49.6
2022-02-10;amc;3.21;2.87;11.81
2022-04-28;amc;4.94;3.23;53.15
2022-07-28;amc;3.38;2.77;21.93
2022-10-27;amc;2.6;2.77;-6.0
2023-02-16;amc;3.31;3.44;-3.76
2023-05-04;amc;3.34;3.48;-3.94
2023-08-03;amc;3.0;2.68;11.98
2023-10-26;amc;2.33;2.81;-17.17
2024-02-15;amc;3.1;2.87;8.16
2024-05-07;amc;2.29;2.14;7.12
2024-08-01;amc;3.11;2.02;54.29
2024-10-30;amc;2.01;1.18;70.83
2025-02-13;amc;2.9;2.88;0.55
2025-05-01;amc;2.54;1.78;42.51
2025-07-31;amc;2.61;1.75;49.46
2025-10-29;amc;2.26;1.93;16.97
2026-02-12;amc;2.51;2.7;-7.04
