date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-26;amc;0.93;0.88;5.32
2020-05-07;amc;0.15;0.21;-26.64
2020-08-06;amc;-0.43;-0.46;6.65
2020-11-05;amc;0.49;0.57;-13.83
2021-02-24;amc;-0.02;-0.17;86.5
2021-05-05;amc;-0.05;-0.29;81.77
2021-08-04;amc;-0.1;-0.09;-18.34
2021-11-03;amc;1.51;1.32;14.14
2022-02-23;amc;0.63;0.54;17.08
2022-05-04;amc;-0.68;-0.05;-1302.79
2022-08-03;amc;0.76;0.71;7.99
2022-11-02;amc;2.12;1.99;6.38
2023-02-23;amc;0.99;0.88;11.83
2023-05-04;amc;0.46;0.43;8.0
2023-08-03;amc;1.5;1.17;29.01
2023-11-02;amc;2.89;2.72;6.49
2024-02-22;amc;1.28;1.2;6.48
2024-05-02;amc;0.82;0.57;44.24
2024-08-01;amc;1.68;1.55;8.28
2024-10-30;amc;3.36;3.1;8.42
2025-02-20;amc;1.66;1.44;15.24
2025-04-29;amc;0.99;0.7;41.23
2025-07-29;amc;2.22;2.02;9.93
2025-10-28;amc;3.98;3.84;3.73
2026-02-18;amc;1.95;1.95;0.27
