date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-20;amc;0.4;0.35;14.34
2020-04-30;amc;0.34;0.28;21.43
2020-07-30;amc;0.67;0.35;91.93
2020-10-29;amc;0.82;0.64;28.13
2021-02-26;bmo;1.26;0.9;39.3
2021-05-06;bmo;1.1;0.72;52.78
2021-08-05;bmo;2.76;1.87;47.78
2021-11-04;bmo;3.39;1.63;107.78
2022-03-01;bmo;2.78;1.89;47.48
2022-05-10;bmo;3.9;2.02;93.07
2022-08-01;bmo;6.26;3.04;105.7
2022-11-08;bmo;5.2;3.3;57.52
2023-02-28;bmo;3.21;2.31;39.19
2023-05-03;bmo;2.96;1.56;90.26
2023-08-02;bmo;3.89;2.59;50.24
2023-11-01;bmo;4.24;3.92;8.19
2024-02-22;bmo;3.55;2.58;37.67
2024-05-07;bmo;2.65;2.33;13.77
2024-08-06;bmo;3.5;3.08;13.68
2024-11-05;bmo;3.07;3.02;1.65
2025-02-20;bmo;2.31;2.21;4.66
2025-05-01;bmo;1.51;1.42;6.36
2025-07-31;bmo;2.38;2.34;1.57
2025-10-30;bmo;1.1;1.14;-3.25
2026-02-17;bmo;1.12;1.28;-12.25
