date;timing;eps_actual;eps_estimated;surprise_pct
2021-11-10;amc;0.23;0.08;173.81
2022-03-01;amc;0.02;0.03;-29.4
2022-05-11;amc;-0.02;0.01;-433.33
2022-08-10;amc;0.05;0.07;-26.06
2022-11-09;amc;0.09;0.08;11.28
2023-02-22;amc;0.03;0.07;-57.48
2023-05-09;amc;;-0.03;100.0
2023-08-08;amc;0.13;0.06;111.73
2023-11-07;amc;0.14;0.07;111.16
2024-02-21;amc;0.04;0.01;279.51
2024-05-07;amc;0.09;0.02;425.39
2024-08-07;amc;0.19;0.13;50.87
2024-11-06;amc;0.16;0.12;37.13
2025-02-12;amc;0.07;0.02;241.46
2025-05-07;amc;0.14;0.11;32.73
2025-08-06;amc;0.26;0.18;47.0
2025-11-05;amc;0.19;0.17;11.46
2026-02-12;amc;0.17;0.1;73.86
