date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-13;bmo;1.17;1.03;13.37
2020-05-06;bmo;0.77;0.49;57.44
2020-08-05;bmo;-0.14;-0.46;69.51
2020-10-29;bmo;0.88;0.79;12.01
2021-02-11;bmo;1.18;0.92;27.61
2021-05-05;bmo;1.21;0.92;30.86
2021-08-04;bmo;1.08;0.8;35.75
2021-11-03;bmo;0.8;0.74;8.5
2022-02-15;bmo;1.06;0.76;39.89
2022-05-04;bmo;1.05;0.86;21.67
2022-08-03;bmo;1.05;0.86;22.26
2022-10-27;bmo;1.24;1.03;20.06
2023-02-09;bmo;1.26;1.08;17.14
2023-05-04;bmo;1.09;1.11;-2.18
2023-08-02;bmo;1.05;0.92;14.32
2023-11-02;bmo;0.98;0.95;3.5
2024-02-08;bmo;0.9;0.94;-4.7
2024-05-02;bmo;1.03;0.87;18.32
2024-07-31;bmo;1.19;1.01;17.67
2024-10-31;bmo;1.09;0.93;16.6
2025-02-06;bmo;1.01;0.96;5.26
2025-05-07;bmo;1.11;0.97;13.88
2025-07-31;bmo;1.21;1.08;11.6
2025-10-30;bmo;1.24;1.18;5.11
2026-02-11;bmo;1.35;1.19;13.53
