date;timing;eps_actual;eps_estimated;surprise_pct
2020-05-08;bmo;0.35;0.33;5.69
2020-07-30;bmo;0.33;0.25;33.19
2020-10-29;bmo;0.67;0.46;44.8
2021-02-09;bmo;0.31;0.36;-12.85
2021-04-29;bmo;0.48;0.37;28.76
2021-07-29;bmo;0.64;0.55;15.74
2021-10-28;bmo;0.71;0.66;8.11
2022-02-08;bmo;0.44;0.39;13.93
2022-04-28;bmo;0.54;0.47;15.43
2022-07-28;bmo;0.69;0.62;12.03
2022-10-27;bmo;0.7;0.65;7.99
2023-02-07;bmo;0.4;0.4;0.71
2023-04-25;amc;0.52;0.48;7.5
2023-07-27;bmo;0.79;0.77;2.57
2023-10-26;bmo;0.89;0.79;12.07
2024-02-06;bmo;0.53;0.51;3.85
2024-04-25;bmo;0.29;0.48;-39.16
2024-07-25;bmo;0.87;0.85;2.82
2024-10-24;bmo;0.77;0.79;-2.22
2025-02-11;bmo;0.54;0.48;11.41
2025-05-01;bmo;0.65;0.58;11.28
2025-07-29;bmo;0.92;0.9;1.94
2025-10-28;bmo;0.67;0.57;17.69
2026-02-05;bmo;0.34;0.36;-4.54
