date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;bmo;1.57;1.48;6.22
2020-05-06;bmo;1.38;1.38;-0.22
2020-08-05;bmo;1.56;1.38;12.65
2020-11-02;bmo;1.83;1.51;21.39
2021-02-10;bmo;1.82;1.51;20.31
2021-05-05;bmo;1.74;1.53;14.05
2021-08-04;bmo;2.02;1.8;11.96
2021-11-03;bmo;2.13;2.05;3.99
2022-02-09;bmo;2.08;1.93;7.79
2022-05-04;bmo;2.2;2.02;9.16
2022-08-03;bmo;2.49;2.42;2.73
2022-11-02;bmo;2.6;2.52;3.03
2023-02-08;bmo;2.5;2.48;0.74
2023-05-03;bmo;2.03;2.03;0.16
2023-08-02;bmo;2.56;2.33;9.9
2023-11-01;bmo;2.72;2.59;5.14
2024-02-07;bmo;2.57;2.56;0.36
2024-05-01;bmo;1.92;2.15;-10.71
2024-07-31;bmo;2.5;2.53;-1.17
2024-10-30;bmo;2.63;2.85;-7.87
2025-02-05;bmo;2.48;2.32;6.74
2025-05-07;bmo;1.69;1.6;5.43
2025-08-06;bmo;2.6;2.49;4.36
2025-11-04;bmo;2.71;2.62;3.35
2026-02-04;bmo;2.57;2.44;5.13
