date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-31;bmo;3.38;2.38;41.95
2020-05-01;bmo;1.98;2.94;-32.73
2020-07-31;bmo;3.78;2.65;42.27
2020-10-30;bmo;4.13;3.25;27.32
2021-01-29;bmo;5.96;4.94;20.66
2021-04-30;bmo;4.11;4.42;-6.97
2021-07-30;bmo;5.29;4.99;6.03
2021-10-29;bmo;6.5;5.75;13.09
2022-01-28;bmo;8.93;7.08;26.22
2022-04-29;bmo;6.9;6.59;4.71
2022-07-29;bmo;8.8;7.12;23.57
2022-10-28;bmo;7.38;8.38;-11.97
2023-01-27;bmo;7.69;8.77;-12.33
2023-04-28;bmo;6.65;7.55;-11.93
2023-07-28;bmo;8.05;8.2;-1.79
2023-10-27;bmo;8.25;8.11;1.71
2024-02-02;bmo;7.07;8.77;-19.35
2024-04-26;bmo;7.55;7.74;-2.51
2024-07-26;bmo;8.49;8.0;6.17
2024-11-01;bmo;8.82;8.49;3.91
2025-01-31;bmo;10.1;9.14;10.5
2025-04-25;bmo;8.42;8.37;0.56
2025-07-25;bmo;9.18;9.77;-6.06
2025-10-31;bmo;8.34;9.32;-10.5
2026-01-30;bmo;10.42;9.73;7.1
2026-04-24;bmo;;9.98;
