date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-04;bmo;0.73;0.73;-0.23
2020-04-28;bmo;0.86;0.99;-13.51
2020-07-28;bmo;2.4;2.43;-1.2
2020-10-27;bmo;1.26;0.96;30.69
2021-02-09;bmo;0.46;0.47;-1.32
2021-04-27;bmo;1.63;1.53;6.42
2021-07-27;bmo;1.25;1.37;-8.56
2021-10-26;bmo;1.26;1.23;2.59
2022-02-08;bmo;1.01;0.97;3.73
2022-04-26;bmo;1.83;1.69;7.99
2022-07-26;bmo;1.77;1.59;11.36
2022-10-25;bmo;1.3;1.23;5.45
2023-02-07;bmo;0.86;0.84;2.87
2023-04-25;bmo;2.11;2.1;0.4
2023-07-28;bmo;2.1;2.05;2.6
2023-10-24;bmo;2.0;1.54;30.07
2024-02-06;bmo;0.45;0.44;2.13
2024-04-26;bmo;2.26;2.08;8.65
2024-07-26;bmo;2.42;2.09;16.05
2024-10-25;bmo;1.36;1.18;15.11
2025-02-04;bmo;0.8;0.49;62.18
2025-04-25;bmo;2.9;2.52;15.27
2025-07-25;bmo;-0.16;0.21;-177.27
2025-10-29;bmo;0.5;-0.16;404.28
2026-02-06;bmo;-1.19;-1.22;2.46
