date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-11;bmo;2.01;1.83;9.59
2020-05-07;bmo;1.84;1.46;25.74
2020-08-05;bmo;1.58;1.28;23.84
2020-10-29;bmo;2.33;1.8;29.63
2021-02-17;bmo;2.39;2.11;13.5
2021-05-04;bmo;2.53;2.19;15.37
2021-08-04;bmo;2.61;2.38;9.64
2021-11-03;bmo;2.7;2.58;4.75
2022-02-16;bmo;2.49;2.43;2.36
2022-05-04;bmo;2.75;2.72;1.25
2022-08-03;bmo;2.77;2.74;1.28
2022-11-02;bmo;2.63;2.5;5.4
2023-02-22;bmo;2.98;2.75;8.55
2023-05-11;bmo;2.78;2.59;7.43
2023-08-09;bmo;2.69;2.64;1.97
2023-11-08;bmo;2.72;2.37;14.86
2024-02-14;bmo;2.46;2.4;2.4
2024-05-09;bmo;2.27;2.06;9.98
2024-08-07;bmo;2.8;2.39;16.97
2024-11-06;bmo;2.59;2.42;6.88
2025-02-19;bmo;2.66;2.53;5.24
2025-05-07;bmo;2.34;2.07;12.78
2025-08-06;bmo;3.12;2.55;22.45
2025-11-05;bmo;2.43;2.34;3.86
2026-02-18;bmo;2.39;2.35;1.91
