date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-27;bmo;0.12;0.08;60.0
2020-04-23;bmo;0.22;0.35;-36.84
2020-07-30;bmo;1.01;0.08;1118.78
2020-10-27;bmo;0.94;0.7;33.58
2021-02-23;bmo;1.06;0.79;34.95
2021-04-27;bmo;1.49;0.89;68.07
2021-07-22;bmo;2.23;1.59;39.82
2021-10-21;bmo;2.47;1.86;32.64
2022-02-16;bmo;2.15;1.9;13.33
2022-05-05;bmo;2.05;1.55;31.93
2022-08-04;bmo;3.24;2.67;21.5
2022-11-03;bmo;2.97;2.61;13.65
2023-02-16;bmo;2.65;2.26;17.51
2023-04-27;bmo;2.61;2.16;21.06
2023-07-27;bmo;3.59;2.98;20.58
2023-11-02;bmo;3.25;3.13;3.81
2024-02-15;bmo;2.58;2.37;8.66
2024-05-07;bmo;3.02;2.25;34.04
2024-08-01;bmo;4.01;3.57;12.45
2024-10-29;bmo;3.6;3.11;15.93
2025-02-13;bmo;2.52;2.26;11.31
2025-05-08;bmo;3.0;2.49;20.56
2025-08-07;bmo;4.23;4.02;5.26
2025-10-30;bmo;2.92;2.36;23.71
2026-02-12;bmo;2.29;1.91;19.67
