date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;amc;1.78;1.62;9.99
2020-04-21;amc;1.29;1.02;27.0
2020-07-21;amc;1.61;1.14;41.71
2020-10-20;amc;1.94;1.72;12.57
2021-02-04;amc;1.48;1.2;23.51
2021-04-22;amc;1.06;0.69;53.3
2021-07-22;amc;1.92;2.12;-9.54
2021-10-21;amc;2.99;2.75;8.78
2022-02-10;amc;2.92;2.67;9.26
2022-04-28;amc;4.26;2.47;72.21
2022-07-27;amc;6.15;4.99;23.35
2022-10-27;amc;5.66;5.43;4.3
2023-02-07;amc;3.92;3.63;8.12
2023-04-27;amc;2.57;2.6;-1.21
2023-07-26;amc;5.18;4.68;10.8
2023-10-26;amc;4.68;4.55;2.97
2024-02-06;amc;4.17;3.55;17.46
2024-04-25;amc;3.72;2.82;31.91
2024-07-24;amc;6.24;6.02;3.69
2024-10-24;amc;5.78;5.82;-0.69
2025-02-04;amc;4.47;4.42;1.13
2025-04-23;amc;3.61;3.42;5.6
2025-07-30;amc;6.27;6.63;-5.37
2025-10-29;amc;5.61;5.36;4.76
2026-02-03;amc;3.9;3.58;8.89
