date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-26;amc;2.12;2.08;2.03
2020-05-06;amc;1.34;1.29;3.65
2020-08-03;amc;1.31;1.28;2.56
2020-10-28;amc;1.85;1.54;20.41
2021-02-24;amc;2.39;2.34;2.36
2021-05-05;amc;1.51;1.3;16.09
2021-08-03;amc;1.56;1.54;1.25
2021-11-03;amc;1.88;1.82;3.55
2022-02-23;amc;2.4;2.37;1.47
2022-05-04;amc;1.31;1.2;9.44
2022-08-03;amc;1.83;1.69;8.28
2022-11-02;amc;2.07;2.02;2.39
2023-02-21;amc;2.92;2.91;0.34
2023-05-03;amc;1.53;1.4;9.6
2023-08-02;amc;2.15;1.98;8.49
2023-11-01;amc;2.54;2.38;6.54
2024-02-14;amc;3.16;2.92;8.16
2024-05-01;amc;1.99;1.72;15.43
2024-08-07;amc;2.67;2.29;16.68
2024-10-30;amc;2.97;2.69;10.33
2025-02-12;amc;3.27;3.09;5.89
2025-05-07;amc;2.82;2.39;18.23
2025-08-06;amc;3.23;3.13;3.33
2025-11-05;amc;3.4;3.29;3.34
2026-02-11;amc;3.79;3.69;2.82
