date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-26;amc;0.26;0.31;-18.7
2020-05-11;amc;-0.22;0.12;-281.19
2020-08-06;amc;-1.25;-1.85;32.63
2020-11-05;amc;-3.51;-2.03;-72.81
2021-02-25;amc;-1.56;-1.61;3.22
2021-05-04;amc;-1.99;-1.69;-17.3
2021-08-03;amc;0.93;-0.15;710.48
2021-11-02;amc;-0.61;0.19;-423.56
2022-02-22;amc;-1.18;-0.79;-49.85
2022-05-03;amc;-1.98;-2.08;5.22
2022-08-02;amc;0.18;0.16;12.1
2022-11-01;amc;0.4;0.19;115.83
2023-02-21;amc;-0.22;-0.26;17.2
2023-05-02;amc;-0.63;0.01;-10052.61
2023-08-01;amc;4.26;0.29;1352.29
2023-10-31;amc;0.34;0.27;23.71
2024-02-20;amc;-0.34;0.05;-812.94
2024-04-30;amc;-0.44;-0.06;-625.33
2024-07-30;amc;0.12;0.07;55.22
2024-10-29;amc;-0.04;0.21;-117.22
2025-02-25;amc;-0.24;-0.12;-110.01
2025-04-29;amc;-0.48;-0.18;-167.28
2025-07-29;amc;-0.2;0.09;-325.22
2025-10-28;amc;-0.26;0.08;-411.71
2026-02-17;amc;-0.27;-0.22;-21.02
