date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-21;bmo;1.63;1.27;28.16
2020-05-22;bmo;2.11;1.58;33.44
2020-08-21;bmo;2.57;1.25;105.23
2020-11-25;bmo;2.39;1.34;77.77
2021-02-19;bmo;3.87;2.17;78.08
2021-05-21;bmo;5.68;4.52;25.7
2021-08-20;bmo;5.32;4.58;16.23
2021-11-24;bmo;4.12;3.87;6.41
2022-02-18;bmo;2.92;2.26;29.19
2022-05-20;bmo;6.1;6.69;-8.95
2022-08-19;bmo;6.16;6.68;-7.74
2022-11-23;bmo;7.75;7.11;9.03
2023-02-17;bmo;6.55;5.47;19.84
2023-05-19;bmo;10.1;8.47;19.25
2023-08-18;bmo;10.2;8.21;24.17
2023-11-22;bmo;8.32;7.46;11.53
2024-02-15;bmo;6.23;5.25;18.68
2024-05-16;bmo;8.53;7.91;7.86
2024-08-15;bmo;6.29;5.79;8.57
2024-11-21;bmo;4.55;3.93;15.76
2025-02-13;bmo;3.19;3.26;-2.12
2025-05-15;bmo;6.64;5.62;18.05
2025-08-14;bmo;4.75;4.63;2.61
2025-11-26;bmo;3.93;3.81;3.25
2026-02-19;bmo;2.42;2.06;17.45
