date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-30;amc;1.19;1.1;8.64
2020-05-21;amc;0.1;0.02;515.28
2020-07-30;amc;-0.05;-0.18;74.68
2020-10-29;amc;0.6;0.45;33.58
2021-02-04;amc;1.5;1.2;24.98
2021-05-20;amc;0.2;0.12;61.76
2021-07-29;amc;0.28;-0.02;1473.49
2021-10-28;amc;0.61;0.65;-6.22
2022-02-03;amc;1.4;1.34;4.4
2022-05-19;amc;0.42;0.22;94.19
2022-07-28;amc;0.28;0.2;37.07
2022-10-27;amc;0.63;0.62;2.7
2023-02-02;amc;1.75;1.6;9.23
2023-05-25;amc;0.58;0.45;28.84
2023-07-27;amc;0.4;0.37;9.02
2023-10-26;amc;1.14;0.74;53.7
2024-02-01;amc;2.52;1.94;29.56
2024-05-23;amc;0.83;0.49;68.38
2024-07-25;amc;0.75;0.58;30.35
2024-10-24;amc;1.59;1.24;28.31
2025-01-30;amc;3.0;2.59;15.63
2025-05-22;amc;1.0;0.6;66.88
2025-07-24;amc;0.93;0.68;36.68
2025-10-23;amc;1.82;1.58;15.06
2026-01-29;amc;3.33;2.77;20.42
