date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-27;amc;2.0;2.0;0.18
2020-05-28;amc;1.34;0.94;42.82
2020-08-27;amc;1.92;1.4;37.49
2020-11-24;amc;2.03;1.42;42.91
2021-02-25;amc;2.7;2.14;26.1
2021-05-27;amc;2.13;1.62;31.5
2021-08-26;amc;2.24;2.04;9.76
2021-11-23;amc;2.37;2.3;2.97
2022-02-24;amc;1.72;1.95;-11.95
2022-05-26;amc;1.84;1.4;31.17
2022-08-25;amc;1.68;1.64;2.61
2022-11-21;amc;2.3;1.61;43.09
2023-03-02;amc;1.8;1.64;9.88
2023-06-01;during;1.31;0.85;53.67
2023-08-31;amc;1.74;1.14;53.07
2023-11-30;amc;1.88;1.46;29.19
2024-02-29;amc;2.2;1.72;27.92
2024-05-30;amc;1.27;1.29;-1.92
2024-08-29;amc;1.89;1.71;10.22
2024-11-26;amc;2.15;2.06;4.25
2025-02-27;amc;2.68;2.52;6.42
2025-05-29;amc;1.55;1.69;-8.38
2025-08-28;amc;2.32;2.29;1.24
2025-11-25;amc;2.59;2.48;4.55
2026-02-26;amc;3.89;3.51;10.74
