date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-20;bmo;0.48;0.55;-12.32
2020-05-07;bmo;0.53;0.41;29.32
2020-08-06;bmo;-0.25;-0.53;53.08
2020-11-05;bmo;-0.41;-0.5;17.94
2021-02-24;bmo;-0.74;-0.71;-3.92
2021-05-05;bmo;-0.53;-0.46;-16.11
2021-08-03;bmo;0.87;0.6;44.01
2021-11-03;bmo;1.28;0.74;72.95
2022-02-23;bmo;-0.11;-0.14;21.6
2022-05-09;bmo;0.99;0.14;601.78
2022-08-08;bmo;5.59;4.55;22.99
2022-11-07;bmo;4.58;4.22;8.45
2023-02-24;bmo;2.97;3.6;-17.53
2023-05-04;bmo;2.0;1.52;31.59
2023-08-03;bmo;2.6;2.29;13.39
2023-11-02;bmo;4.06;3.7;9.86
2024-02-21;bmo;0.87;0.72;20.55
2024-05-08;bmo;0.71;0.67;5.28
2024-08-01;bmo;0.78;0.71;9.51
2024-10-31;bmo;0.51;0.33;54.14
2025-02-20;bmo;-1.02;-0.84;-21.11
2025-05-01;bmo;-0.27;-0.41;34.71
2025-07-31;bmo;1.7;1.08;57.77
2025-10-30;bmo;2.44;1.86;30.87
2026-02-18;bmo;1.2;0.45;165.22
