date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-10;bmo;1.32;1.22;8.17
2020-06-02;bmo;-1.71;-0.83;-106.89
2020-08-26;bmo;3.12;1.29;142.25
2020-11-24;bmo;2.01;1.08;85.51
2021-03-09;bmo;2.43;2.31;5.21
2021-05-26;bmo;3.79;1.19;218.48
2021-08-25;bmo;5.08;2.82;80.41
2021-11-23;bmo;3.19;2.04;56.15
2022-03-08;bmo;3.64;3.54;2.85
2022-05-25;bmo;2.85;2.53;12.69
2022-08-23;bmo;3.68;3.57;3.07
2022-11-22;bmo;2.6;2.26;15.15
2023-03-07;bmo;2.93;2.89;1.47
2023-05-23;bmo;3.4;3.21;5.85
2023-08-22;bmo;2.82;3.81;-25.9
2023-11-21;bmo;2.85;2.46;15.85
2024-03-14;bmo;3.85;3.36;14.42
2024-05-29;bmo;3.3;2.97;10.98
2024-09-04;bmo;4.37;3.86;13.34
2024-11-26;bmo;2.75;2.69;2.19
2025-03-11;bmo;3.62;3.51;3.05
2025-05-15;bmo;3.37;3.21;4.92
2025-08-28;bmo;4.38;4.3;1.89
2025-11-25;bmo;2.78;2.71;2.7
2026-03-12;bmo;1.41;2.38;-40.69
