date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-29;amc;0.64;0.49;29.55
2020-05-04;amc;1.04;1.09;-4.55
2020-08-03;amc;0.86;0.27;216.18
2020-11-12;amc;0.45;0.34;33.27
2021-01-28;amc;1.48;1.04;41.76
2021-05-04;amc;0.91;0.67;36.25
2021-07-29;amc;0.71;0.48;49.46
2021-11-16;amc;0.58;0.56;3.27
2022-02-03;amc;1.01;1.06;-4.87
2022-05-05;amc;0.92;0.82;12.86
2022-08-09;amc;0.68;0.59;15.03
2022-11-17;amc;0.54;0.71;-23.91
2023-02-02;amc;1.11;0.79;41.4
2023-05-04;amc;1.26;0.97;29.28
2023-08-03;amc;0.55;0.55;
2023-11-16;amc;0.65;0.53;23.42
2024-02-01;amc;1.01;0.77;31.17
2024-05-02;amc;1.27;1.19;6.42
2024-08-07;amc;0.71;0.59;20.34
2024-11-19;amc;0.81;0.7;16.27
2025-01-29;amc;1.14;0.98;16.72
2025-05-01;amc;1.34;1.27;5.79
2025-07-31;amc;0.78;0.71;9.35
2025-11-18;amc;0.99;0.71;40.43
2026-01-29;amc;1.06;0.99;6.71
