date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-20;bmo;3.12;2.97;5.06
2020-04-23;bmo;3.07;2.35;30.51
2020-07-16;bmo;2.99;2.25;32.88
2020-10-08;bmo;2.49;2.77;-10.0
2021-02-25;bmo;3.46;3.9;-11.24
2021-04-29;bmo;3.0;2.94;2.08
2021-07-22;bmo;3.06;2.87;6.55
2021-10-14;bmo;3.24;3.1;4.4
2022-03-01;bmo;4.25;4.29;-0.9
2022-04-28;bmo;2.5;3.07;-18.55
2022-07-21;bmo;2.82;2.9;-2.8
2022-10-13;bmo;2.79;2.97;-6.1
2023-02-23;bmo;4.43;3.97;11.49
2023-04-27;bmo;2.93;2.72;7.58
2023-07-24;bmo;3.08;3.07;0.36
2023-10-12;bmo;4.18;3.3;26.85
2024-02-26;bmo;4.48;4.4;1.91
2024-04-29;bmo;3.58;3.4;5.41
2024-07-18;bmo;4.03;3.68;9.55
2024-10-10;bmo;4.19;3.64;15.2
2025-02-24;bmo;4.89;4.91;-0.37
2025-04-28;bmo;4.33;4.07;6.32
2025-07-21;bmo;3.81;3.96;-3.77
2025-10-14;bmo;4.08;3.96;3.16
2026-02-23;bmo;5.35;5.38;-0.57
