date;timing;eps_actual;eps_estimated;surprise_pct
2021-08-06;bmo;0.91;0.75;20.71
2021-11-05;bmo;0.78;0.79;-1.73
2022-02-25;bmo;0.89;0.84;6.5
2022-05-05;during;0.55;0.89;-38.42
2022-08-03;bmo;0.8;0.88;-9.18
2022-10-28;bmo;0.9;0.87;3.54
2023-02-16;bmo;0.93;0.98;-5.48
2023-05-02;bmo;0.84;0.93;-9.93
2023-08-01;bmo;0.93;0.87;7.26
2023-11-01;bmo;0.94;0.91;3.7
2024-02-16;bmo;1.24;0.89;39.31
2024-04-30;bmo;0.99;0.94;5.23
2024-07-30;bmo;0.98;0.93;4.95
2024-10-29;bmo;0.9;0.96;-6.02
2025-02-26;bmo;0.94;0.92;2.73
2025-04-30;bmo;1.06;1.08;-1.63
2025-07-31;bmo;1.04;0.98;6.39
2025-10-30;bmo;1.13;1.06;6.4
2026-02-19;bmo;1.08;1.15;-6.24
