date;timing;eps_actual;eps_estimated;surprise_pct
2021-11-12;bmo;-0.23;-0.87;73.68
2022-03-03;amc;-0.01;-0.35;96.06
2022-05-12;amc;0.08;-0.37;121.89
2022-08-04;amc;0.09;-0.06;241.8
2022-11-10;amc;0.07;-0.07;206.79
2023-02-28;amc;0.18;-0.03;650.02
2023-05-09;amc;0.44;0.24;82.44
2023-08-08;amc;0.6;0.31;96.76
2023-11-08;amc;0.6;0.42;43.57
2024-02-28;amc;0.73;0.65;13.04
2024-05-08;amc;1.12;0.77;46.19
2024-08-07;amc;1.01;0.85;18.81
2024-11-06;amc;1.08;0.94;15.29
2025-02-28;bmo;0.82;1.09;-24.49
2025-05-01;amc;0.72;0.52;39.29
2025-08-06;amc;1.7;1.29;31.85
2025-11-05;amc;6.8;1.59;326.9
2026-02-27;bmo;1.59;1.68;-5.22
