date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-18;amc;0.33;0.33;0.47
2020-05-05;amc;0.13;-0.2;166.5
2020-08-04;amc;-0.18;-0.26;31.98
2020-10-29;amc;-0.07;-0.1;32.91
2021-02-16;amc;;0.03;-100.0
2021-05-04;amc;0.45;0.32;40.28
2021-08-03;amc;0.6;0.53;13.7
2021-11-02;amc;1.08;0.93;16.47
2022-02-15;amc;1.39;1.24;12.23
2022-05-02;amc;1.88;1.76;6.98
2022-08-01;during;2.59;2.37;9.12
2022-11-01;amc;2.18;2.13;2.38
2023-02-14;amc;1.66;1.75;-5.32
2023-05-09;during;1.46;1.4;4.26
2023-08-01;amc;1.18;1.19;-0.72
2023-11-07;amc;1.65;1.55;6.15
2024-02-27;amc;1.41;1.4;0.51
2024-05-01;amc;1.16;1.11;4.17
2024-08-06;amc;1.41;1.27;11.25
2024-11-05;amc;1.1;1.1;0.39
2025-02-18;amc;1.16;1.0;15.69
2025-05-06;amc;1.21;1.23;-1.46
2025-08-05;amc;0.84;0.86;-2.84
2025-11-05;amc;1.04;0.94;10.56
2026-02-17;amc;0.82;0.83;-0.81
