date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-19;bmo;0.23;0.23;-0.41
2020-05-07;bmo;0.13;0.24;-45.48
2020-07-30;bmo;0.09;0.07;29.25
2020-11-06;bmo;0.13;0.12;5.96
2021-02-24;bmo;0.12;0.1;24.16
2021-05-07;bmo;0.37;0.23;63.23
2021-08-09;bmo;0.28;0.26;5.72
2021-11-05;bmo;0.19;0.17;14.89
2022-02-24;bmo;0.21;0.17;24.19
2022-05-09;bmo;0.36;0.35;2.44
2022-08-08;bmo;0.36;0.25;42.78
2022-11-08;bmo;0.2;0.16;27.08
2023-02-21;bmo;0.19;0.13;49.1
2023-05-09;bmo;0.45;0.29;57.31
2023-08-07;bmo;0.18;0.05;272.98
2023-11-07;bmo;0.18;0.12;51.99
2024-02-26;bmo;0.08;0.1;-23.41
2024-05-08;bmo;0.34;0.27;27.96
2024-08-08;bmo;0.3;0.24;26.22
2024-11-07;bmo;0.13;0.12;11.03
2025-02-25;bmo;0.14;0.15;-5.76
2025-05-07;bmo;0.37;0.3;21.53
2025-08-07;bmo;0.26;0.2;29.52
2025-11-05;bmo;0.19;0.13;43.85
2026-02-24;bmo;0.13;0.12;11.21
