date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-29;bmo;3.88;3.89;-0.13
2020-04-29;bmo;6.48;6.44;0.6
2020-07-29;bmo;9.2;8.58;7.27
2020-10-28;bmo;4.2;4.18;0.55
2021-01-27;bmo;2.54;2.53;0.53
2021-04-21;bmo;7.01;6.47;8.34
2021-07-21;bmo;7.03;6.34;10.86
2021-10-20;bmo;6.79;6.37;6.65
2022-01-26;bmo;5.14;5.12;0.48
2022-04-20;bmo;8.25;7.83;5.4
2022-07-20;bmo;8.04;7.74;3.84
2022-10-19;bmo;7.53;7.15;5.29
2023-01-25;bmo;5.23;5.19;0.75
2023-04-19;bmo;9.46;9.28;1.97
2023-07-19;bmo;9.04;8.78;2.95
2023-10-18;bmo;8.99;8.46;6.27
2024-01-24;bmo;5.62;5.59;0.62
2024-04-18;bmo;10.64;10.53;1.08
2024-07-17;bmo;10.12;10.01;1.14
2024-10-17;bmo;8.37;9.65;-13.28
2025-01-23;bmo;3.84;3.85;-0.29
2025-04-22;bmo;11.97;11.48;4.3
2025-07-17;bmo;8.84;8.96;-1.39
2025-10-21;bmo;6.03;4.94;22.01
2026-01-28;bmo;3.33;3.09;7.65
2026-04-22;bmo;12.58;10.81;16.36
