date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-30;amc;1.42;1.33;6.46
2020-04-30;amc;2.03;1.71;18.96
2020-08-03;amc;0.85;1.04;-18.22
2020-10-29;amc;1.57;1.37;15.01
2021-01-28;amc;1.69;1.51;12.03
2021-04-29;amc;2.13;2.04;4.63
2021-08-02;amc;2.46;2.33;5.38
2021-10-28;amc;2.46;2.46;0.08
2022-01-27;amc;1.81;1.87;-2.96
2022-04-28;amc;2.06;2.1;-1.96
2022-07-28;amc;2.83;2.7;4.95
2022-10-27;amc;2.05;2.0;2.44
2023-01-26;amc;0.89;1.24;-28.33
2023-04-27;amc;1.63;1.23;32.54
2023-07-27;amc;1.99;1.94;2.49
2023-10-26;amc;1.47;1.45;1.51
2024-02-01;amc;1.31;1.3;0.76
2024-04-25;amc;1.61;1.43;12.89
2024-07-25;amc;2.15;2.01;6.88
2024-10-31;amc;2.26;2.14;5.41
2025-01-30;amc;1.87;1.57;18.85
2025-04-24;amc;1.91;1.89;1.23
2025-07-31;amc;1.6;1.75;-8.71
2025-11-03;amc;1.14;1.17;-2.16
2026-01-29;amc;0.75;0.72;4.15
