date;timing;eps_actual;eps_estimated;surprise_pct
2022-08-09;bmo;1.08;1.01;6.93
2022-11-03;bmo;0.92;0.84;9.16
2023-03-07;bmo;1.05;0.91;15.72
2023-05-02;bmo;1.04;0.93;11.83
2023-08-01;bmo;1.21;1.04;16.52
2023-11-01;bmo;1.08;0.95;14.02
2024-02-29;bmo;1.13;1.04;8.52
2024-05-01;bmo;1.2;1.1;8.74
2024-08-02;bmo;1.32;1.27;4.14
2024-10-29;bmo;1.25;1.12;11.37
2025-02-20;bmo;1.28;1.16;9.9
2025-05-01;bmo;1.25;1.21;3.64
2025-08-06;bmo;1.36;1.35;1.03
2025-10-29;bmo;1.32;1.27;3.71
2026-02-20;bmo;1.35;1.34;0.65
