date;timing;eps_actual;eps_estimated;surprise_pct
2021-03-01;amc;20.13;12.83;56.94
2021-05-11;amc;2.71;1.85;46.29
2021-08-10;amc;1.64;1.18;39.57
2021-11-02;amc;2.38;1.68;41.47
2022-02-23;amc;2.39;2.48;-3.69
2022-05-04;amc;3.09;2.43;26.93
2022-08-02;amc;4.87;3.75;29.97
2022-11-01;amc;5.06;4.48;13.06
2023-02-21;amc;4.22;2.89;46.04
2023-05-02;amc;1.87;1.69;10.59
2023-08-01;amc;0.64;0.39;63.14
2023-10-31;amc;1.09;0.59;83.72
2024-02-20;amc;1.31;0.7;88.45
2024-04-30;amc;0.56;0.61;-7.6
2024-07-29;amc;0.01;-0.02;163.01
2024-10-29;amc;0.16;-0.06;371.42
2025-02-26;amc;0.55;0.47;17.54
2025-04-29;amc;2.02;1.87;8.03
2025-07-29;amc;1.1;1.15;-4.14
2025-10-28;amc;0.97;0.85;14.22
2026-02-17;amc;2.3;1.86;23.44
