date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-04;bmo;1.51;1.52;-0.92
2020-05-19;bmo;1.28;0.87;47.17
2020-07-30;bmo;1.57;1.12;40.03
2020-10-29;bmo;2.31;1.79;28.91
2021-01-28;bmo;1.94;1.75;11.01
2021-05-19;bmo;1.56;1.2;30.14
2021-07-28;bmo;2.25;2.07;8.83
2021-10-28;bmo;2.73;2.71;0.57
2022-01-27;bmo;2.53;2.47;2.42
2022-05-19;bmo;1.9;1.83;3.7
2022-07-28;bmo;2.82;2.8;0.54
2022-10-26;bmo;3.74;3.58;4.49
2023-01-26;bmo;3.2;3.23;-0.84
2023-05-18;bmo;2.79;2.3;21.32
2023-07-27;bmo;3.55;3.59;-1.1
2023-10-26;bmo;4.28;4.25;0.6
2024-01-25;bmo;3.72;3.57;4.06
2024-05-21;bmo;2.24;2.73;-17.97
2024-07-30;bmo;3.94;3.73;5.72
2024-10-29;bmo;4.26;4.68;-8.94
2025-01-29;bmo;3.56;3.96;-10.15
2025-05-20;bmo;2.08;2.43;-14.26
2025-07-29;bmo;3.76;3.68;2.14
2025-10-30;bmo;4.23;4.35;-2.72
2026-01-29;bmo;3.22;3.36;-4.14
