date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-18;bmo;0.79;0.8;-1.2
2020-05-05;bmo;0.71;0.63;12.68
2020-08-04;bmo;1.09;0.72;52.3
2020-11-03;bmo;1.12;0.99;12.68
2021-02-16;bmo;1.16;1.07;8.24
2021-05-04;bmo;1.67;1.05;59.34
2021-08-03;bmo;1.84;1.64;12.51
2021-11-02;bmo;2.09;1.81;15.76
2022-02-22;bmo;2.66;2.09;27.52
2022-05-03;bmo;2.07;1.71;21.34
2022-08-02;bmo;2.27;2.13;6.53
2022-11-08;bmo;2.54;1.99;27.75
2023-02-21;bmo;1.38;1.96;-29.49
2023-05-02;bmo;1.47;1.33;10.57
2023-08-08;bmo;1.3;1.36;-4.68
2023-11-07;bmo;1.16;1.28;-9.45
2024-02-20;bmo;1.09;1.21;-10.16
2024-05-07;bmo;1.17;1.09;7.61
2024-08-06;bmo;1.24;1.26;-1.6
2024-11-05;bmo;1.63;1.33;23.02
2025-02-18;bmo;1.68;1.43;17.1
2025-05-06;bmo;1.47;1.37;7.47
2025-08-05;bmo;1.34;1.25;7.41
2025-11-04;bmo;1.64;1.39;17.6
2026-02-24;bmo;1.49;1.46;2.38
