date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-17;bmo;0.16;0.16;-0.62
2020-04-14;bmo;0.18;0.17;1.42
2020-07-14;bmo;0.21;0.18;14.6
2020-10-13;bmo;0.19;0.19;1.37
2021-01-20;bmo;0.17;0.17;2.93
2021-04-13;bmo;0.19;0.18;0.99
2021-07-13;bmo;0.21;0.21;1.41
2021-10-12;bmo;0.21;0.21;1.08
2022-01-19;bmo;0.2;0.19;7.23
2022-04-13;bmo;0.24;0.22;5.05
2022-07-13;bmo;0.25;0.25;1.2
2022-10-13;bmo;0.25;0.24;3.5
2023-01-19;bmo;0.22;0.21;2.65
2023-04-13;bmo;0.26;0.25;3.08
2023-07-13;bmo;0.26;0.26;-0.79
2023-10-12;bmo;0.26;0.25;3.49
2024-01-18;bmo;0.23;0.22;2.26
2024-04-11;bmo;0.26;0.27;-2.03
2024-07-12;bmo;0.26;0.25;0.15
2024-10-11;bmo;0.26;0.26;1.0
2025-01-17;bmo;0.23;0.24;-3.72
2025-04-11;bmo;0.26;0.26;0.05
2025-07-14;bmo;0.29;0.27;7.34
2025-10-13;bmo;0.29;0.3;-2.2
2026-01-20;bmo;0.26;0.26;0.57
2026-04-13;bmo;0.3;0.3;0.68
