date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-20;amc;0.26;0.21;23.79
2020-04-30;amc;0.34;0.26;32.48
2020-07-30;amc;0.13;0.07;74.19
2020-10-29;amc;0.56;0.41;36.53
2021-02-25;amc;0.47;0.45;5.34
2021-05-06;amc;0.68;0.54;26.26
2021-08-05;amc;0.73;0.63;15.33
2021-11-04;amc;0.6;0.57;4.85
2022-02-24;amc;0.44;0.45;-2.43
2022-05-05;amc;0.67;0.65;2.92
2022-08-04;amc;0.76;0.73;3.77
2022-11-03;amc;0.7;0.65;8.17
2023-02-23;amc;0.64;0.57;12.05
2023-05-04;amc;0.66;0.67;-1.72
2023-08-03;amc;0.66;0.66;0.22
2023-11-02;amc;0.61;0.56;8.86
2024-02-22;amc;0.34;0.27;26.51
2024-05-02;amc;0.46;0.44;4.66
2024-08-01;amc;0.52;0.51;1.43
2024-10-30;amc;0.48;0.44;9.16
2025-02-20;amc;0.44;0.25;73.21
2025-05-01;amc;0.45;0.44;2.09
2025-07-31;amc;0.58;0.56;4.28
2025-10-30;amc;0.53;0.45;16.71
2026-02-19;amc;0.36;0.34;4.71
