date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-26;amc;0.03;0.43;-93.06
2020-04-22;amc;-0.11;0.21;-152.26
2020-07-29;amc;0.09;0.05;65.81
2020-10-21;amc;0.16;0.21;-22.08
2021-02-24;amc;0.05;0.21;-75.91
2021-04-26;amc;-0.03;-0.07;56.27
2021-07-21;amc;-0.06;-0.01;-368.75
2021-10-20;amc;-0.06;0.01;-521.94
2022-02-23;amc;-0.12;-0.01;-1026.76
2022-04-27;amc;-0.03;;-712.24
2022-07-27;amc;0.02;0.05;-56.22
2022-10-26;amc;0.03;0.09;-67.32
2023-02-23;bmo;-0.05;0.04;-242.65
2023-04-27;bmo;;0.02;-100.0
2023-07-27;bmo;0.1;0.16;-37.81
2023-10-26;bmo;0.21;0.19;9.76
2024-02-22;bmo;0.14;0.12;13.65
2024-04-25;bmo;0.22;0.16;38.3
2024-07-25;bmo;0.43;0.31;39.36
2024-10-24;bmo;0.63;0.39;61.54
2025-02-27;bmo;0.54;0.36;51.13
2025-04-24;bmo;0.33;0.37;-10.13
2025-07-24;bmo;0.68;0.58;17.95
2025-10-23;bmo;0.75;0.66;14.09
2026-02-19;bmo;0.7;0.52;35.49
