date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;amc;0.15;0.14;9.49
2020-05-06;amc;0.12;0.1;19.64
2020-08-06;amc;0.16;0.13;25.59
2020-10-29;amc;0.18;0.16;12.87
2021-02-04;amc;0.21;0.19;9.59
2021-04-29;amc;0.16;0.15;9.73
2021-07-29;amc;0.19;0.17;9.2
2021-11-04;amc;0.2;0.19;5.33
2022-02-03;amc;0.25;0.23;7.07
2022-05-04;amc;0.19;0.16;17.8
2022-08-03;amc;0.24;0.22;9.35
2022-11-02;amc;0.33;0.27;20.57
2023-02-07;amc;0.44;0.39;12.25
2023-05-04;amc;0.34;0.29;18.93
2023-08-03;amc;0.38;0.34;10.69
2023-11-02;amc;0.41;0.36;12.58
2024-02-06;amc;0.51;0.43;18.14
2024-05-02;amc;0.43;0.38;11.75
2024-08-06;amc;0.57;0.41;40.18
2024-11-07;amc;0.63;0.52;21.52
2025-02-06;amc;0.68;0.54;26.81
2025-05-07;amc;0.58;0.53;9.02
2025-08-06;amc;0.64;0.59;8.27
2025-11-05;amc;0.74;0.63;16.91
2026-02-05;amc;0.81;0.74;8.95
