date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-12;amc;0.58;0.41;41.39
2020-06-04;amc;-2.51;-0.33;-649.25
2020-08-27;amc;-0.17;-0.41;58.98
2020-11-24;amc;0.25;0.33;-25.26
2021-03-04;amc;0.28;0.18;58.49
2021-05-27;amc;0.43;-0.05;1002.03
2021-08-26;amc;0.67;0.46;46.43
2021-11-23;amc;0.27;0.51;-46.76
2022-03-03;amc;-0.04;-0.14;70.46
2022-05-26;amc;-0.44;-0.12;-264.84
2022-08-25;amc;-0.13;-0.01;-1720.73
2022-11-17;amc;0.77;;769900.0
2023-03-09;amc;-0.75;-0.48;-56.81
2023-05-25;amc;-0.05;-0.15;67.4
2023-08-24;amc;0.32;0.09;253.05
2023-11-16;amc;0.58;0.21;170.26
2024-03-07;amc;0.49;0.28;75.0
2024-05-30;amc;0.42;0.15;172.39
2024-08-29;during;0.54;0.41;30.43
2024-11-21;amc;0.72;0.58;24.2
2025-03-06;amc;0.54;0.38;43.36
2025-05-29;amc;0.51;0.45;13.2
2025-08-28;amc;0.57;0.55;3.98
2025-11-20;amc;0.62;0.59;5.59
2026-03-05;amc;0.45;0.45;-0.72
