date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-29;bmo;3.51;3.44;2.11
2020-04-29;bmo;2.43;2.46;-1.18
2020-07-29;bmo;2.18;2.18;0.15
2020-10-28;bmo;2.9;2.86;1.37
2021-01-27;bmo;3.49;3.54;-1.29
2021-04-28;bmo;2.48;2.29;8.52
2021-07-28;bmo;2.61;2.54;2.83
2021-10-27;bmo;3.07;2.99;2.81
2022-01-26;bmo;3.39;3.37;0.45
2022-04-27;bmo;2.61;2.5;4.3
2022-07-27;bmo;2.75;2.72;1.18
2022-10-26;bmo;3.26;3.14;3.67
2023-01-25;bmo;3.58;3.54;1.2
2023-04-26;bmo;2.64;2.58;2.33
2023-07-26;bmo;2.7;2.6;3.93
2023-10-25;bmo;3.04;2.94;3.25
2024-01-24;bmo;3.64;3.67;-0.92
2024-04-24;bmo;2.88;2.93;-1.76
2024-07-24;bmo;3.26;3.31;-1.4
2024-10-23;bmo;3.35;3.51;-4.56
2025-01-29;bmo;4.15;4.04;2.71
2025-04-23;bmo;3.66;3.46;5.72
2025-07-23;bmo;3.74;3.55;5.29
2025-10-24;bmo;3.88;3.71;4.57
2026-01-28;bmo;4.17;4.11;1.54
