date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-13;amc;0.34;0.34;1.17
2020-05-06;amc;0.24;0.17;39.11
2020-08-05;amc;-4.06;0.16;-2622.68
2020-11-04;amc;0.38;0.34;11.33
2021-02-11;amc;0.76;0.93;-17.93
2021-05-05;amc;0.64;0.66;-3.69
2021-08-04;amc;0.62;0.63;-1.35
2021-11-03;amc;0.84;0.67;24.98
2022-02-10;amc;0.97;0.75;29.7
2022-05-04;amc;0.41;0.43;-4.42
2022-08-03;amc;1.1;0.71;55.27
2022-11-03;amc;1.17;0.66;75.48
2023-02-14;amc;0.6;0.63;-4.64
2023-05-04;amc;0.3;0.48;-37.45
2023-08-03;amc;1.21;1.32;-8.91
2023-11-02;amc;1.48;0.97;52.3
2024-02-13;amc;8.53;1.25;580.07
2024-05-02;amc;2.76;0.96;187.23
2024-08-01;amc;1.01;1.08;-6.39
2024-10-30;amc;1.32;1.24;6.38
2025-02-13;amc;1.97;1.73;13.77
2025-05-01;amc;1.51;1.37;9.94
2025-08-07;amc;1.41;1.34;5.41
2025-10-30;amc;1.51;1.46;3.11
2026-02-24;amc;1.8;1.58;14.05
