date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-26;amc;0.32;0.2;61.4
2020-06-09;amc;-0.4;-0.42;4.64
2020-09-09;amc;-0.35;-0.28;-23.35
2020-12-08;amc;-0.13;-0.21;37.56
2021-03-23;amc;0.34;0.36;-5.82
2021-06-09;amc;-0.11;-0.21;46.11
2021-09-08;amc;-0.19;-0.17;-14.29
2021-12-08;amc;-0.35;-0.13;-168.59
2022-03-17;amc;-0.46;0.21;-322.08
2022-06-01;amc;-0.52;-0.3;-71.19
2022-09-07;amc;-0.35;-0.41;15.66
2022-12-07;amc;-0.31;-0.28;-12.05
2023-03-21;amc;0.16;-0.13;220.0
2023-06-07;amc;-0.14;-0.12;-16.67
2023-09-06;amc;-0.03;-0.14;78.57
2023-12-06;amc;;-0.08;100.0
2024-03-26;amc;0.22;0.3;-25.42
2024-06-07;bmo;-0.12;-0.09;-33.33
2024-09-10;amc;0.01;-0.08;111.76
2024-12-10;amc;0.06;-0.03;300.0
2025-03-25;amc;0.3;0.08;275.0
2025-06-10;amc;0.17;0.04;325.0
2025-09-09;amc;0.25;0.16;61.29
2025-12-09;amc;0.24;0.2;20.0
