date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-28;bmo;3.09;3.09;0.03
2020-04-21;bmo;2.33;2.65;-12.1
2020-07-22;bmo;1.5;-0.33;550.83
2020-10-26;bmo;1.92;2.26;-14.99
2021-02-02;bmo;4.13;3.59;15.1
2021-04-22;bmo;4.14;3.33;24.42
2021-07-20;bmo;4.37;3.16;38.34
2021-10-22;bmo;4.57;4.01;13.85
2022-01-27;bmo;4.42;4.52;-2.18
2022-04-22;bmo;4.12;4.24;-2.74
2022-07-22;bmo;4.21;3.71;13.49
2022-10-21;bmo;3.93;3.86;1.78
2023-01-27;bmo;4.64;4.79;-3.15
2023-04-21;bmo;4.93;3.92;25.81
2023-07-27;bmo;4.29;4.24;1.21
2023-10-24;bmo;3.91;3.97;-1.59
2024-01-30;bmo;5.9;5.05;16.79
2024-04-26;bmo;5.36;5.09;5.4
2024-07-23;bmo;5.5;4.93;11.58
2024-10-25;bmo;4.88;4.98;-2.1
2025-01-24;bmo;6.22;6.14;1.22
2025-04-25;bmo;6.45;5.75;12.09
2025-07-25;bmo;6.84;6.32;8.21
2025-10-24;bmo;6.96;5.73;21.55
2026-01-27;bmo;8.14;7.42;9.7
2026-04-24;bmo;;7.15;
