date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-30;bmo;1.28;1.24;2.97
2020-04-23;bmo;1.63;1.71;-4.61
2020-07-23;bmo;1.31;1.13;16.21
2020-11-06;bmo;1.86;1.72;8.23
2021-02-04;bmo;1.49;1.43;4.48
2021-04-29;bmo;1.92;1.8;6.75
2021-07-29;bmo;1.47;1.42;3.17
2021-10-28;bmo;2.1;2.0;4.8
2022-02-03;bmo;1.69;1.61;4.68
2022-04-28;bmo;2.53;2.1;20.57
2022-07-28;bmo;1.8;1.68;6.93
2022-11-04;bmo;2.17;2.1;3.2
2023-02-02;bmo;2.02;1.77;13.95
2023-04-27;bmo;2.96;2.67;11.07
2023-07-27;bmo;2.01;1.91;4.97
2023-10-26;bmo;2.6;2.45;5.96
2024-02-08;bmo;2.02;1.96;3.28
2024-05-03;bmo;3.07;2.76;11.17
2024-08-01;bmo;0.89;1.32;-32.5
2024-11-07;bmo;2.34;2.55;-8.29
2025-02-06;bmo;2.69;2.38;13.26
2025-05-01;bmo;2.09;1.93;8.03
2025-07-30;bmo;1.21;1.0;20.42
2025-10-30;bmo;1.3;1.06;22.22
2026-02-05;bmo;1.71;1.4;21.77
