date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-21;amc;4.71;4.69;0.35
2020-04-20;amc;1.84;1.8;2.16
2020-07-20;amc;2.18;2.09;4.55
2020-10-19;amc;2.58;2.58;0.04
2021-01-21;amc;2.07;1.88;10.38
2021-04-19;amc;1.77;1.65;7.12
2021-07-19;amc;2.33;2.29;1.82
2021-10-20;amc;2.52;2.51;0.21
2022-01-24;amc;3.35;3.29;1.91
2022-04-19;amc;1.4;1.42;-1.46
2022-07-18;amc;2.31;2.29;0.9
2022-10-19;amc;1.81;1.8;0.7
2023-01-25;amc;3.6;3.61;-0.32
2023-04-19;amc;1.36;1.24;9.73
2023-07-19;amc;2.18;2.0;8.93
2023-10-25;amc;2.2;2.13;3.5
2024-01-24;amc;3.87;3.8;1.86
2024-04-24;amc;1.68;1.6;5.2
2024-07-24;amc;2.43;2.17;11.92
2024-10-23;amc;2.3;2.23;3.33
2025-01-29;amc;3.09;3.48;-11.2
2025-04-23;amc;1.12;1.08;3.99
2025-07-23;amc;2.8;2.65;5.47
2025-10-22;amc;1.84;1.92;-4.27
2026-01-28;amc;4.52;4.29;5.3
2026-04-22;amc;1.91;1.81;5.45
