date;timing;eps_actual;eps_estimated;surprise_pct
2022-03-02;amc;-0.05;-0.08;33.83
2022-06-02;amc;-0.05;-0.08;35.28
2022-08-31;amc;-0.04;-0.07;43.26
2022-12-01;amc;-0.02;-0.06;66.83
2023-03-02;amc;-0.02;-0.05;59.74
2023-06-01;amc;-0.02;-0.05;58.42
2023-08-31;amc;-0.11;-0.12;10.72
2023-11-30;amc;0.04;0.01;429.8
2024-03-07;amc;0.04;0.03;49.09
2024-06-06;amc;0.03;0.01;228.95
2024-09-05;amc;0.05;0.01;446.45
2024-12-05;amc;0.07;0.04;74.3
2025-03-06;amc;-0.02;-0.07;72.7
2025-06-05;amc;0.11;0.06;91.64
2025-09-04;amc;0.12;0.07;65.59
2025-12-04;amc;0.01;-0.03;129.71
2026-03-05;amc;0.18;0.13;40.9
