date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-12;bmo;1.74;1.72;1.07
2020-04-28;bmo;1.5;1.49;0.81
2020-07-22;bmo;1.18;1.06;11.69
2020-10-20;bmo;1.63;1.54;5.91
2021-02-10;bmo;2.11;2.01;5.19
2021-04-22;bmo;2.18;1.86;17.49
2021-07-27;bmo;2.13;2.08;2.52
2021-10-21;bmo;2.17;2.12;2.18
2022-02-15;bmo;2.55;2.43;4.8
2022-04-27;bmo;2.47;2.42;2.24
2022-07-21;bmo;2.44;2.38;2.42
2022-10-26;bmo;2.48;2.38;4.0
2023-02-10;bmo;2.78;2.76;0.64
2023-04-27;bmo;2.45;2.41;1.72
2023-08-01;bmo;2.43;2.37;2.5
2023-11-01;bmo;2.49;2.45;1.75
2024-02-14;bmo;2.84;2.82;0.65
2024-05-02;bmo;2.54;2.48;2.38
2024-07-22;bmo;2.64;2.56;3.02
2024-10-31;bmo;1.55;1.92;-19.36
2025-02-06;bmo;2.42;2.09;16.06
2025-05-06;bmo;2.7;2.63;2.57
2025-07-22;bmo;1.54;1.73;-10.88
2025-10-28;bmo;3.0;2.98;0.81
2026-02-05;bmo;3.42;3.4;0.69
