date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-04;bmo;1.18;0.82;44.61
2020-05-07;bmo;1.2;0.32;269.87
2020-08-04;bmo;1.2;0.81;48.76
2020-11-03;bmo;0.91;0.53;73.15
2021-02-09;bmo;1.59;0.82;94.69
2021-05-04;bmo;2.0;1.05;89.67
2021-08-03;bmo;2.24;1.73;29.56
2021-11-02;bmo;2.03;1.55;30.59
2022-02-08;bmo;2.99;2.42;23.74
2022-05-03;bmo;2.33;1.72;35.62
2022-08-02;bmo;2.85;2.14;32.97
2022-11-01;bmo;2.41;1.87;28.78
2023-02-07;bmo;3.7;2.58;43.46
2023-05-02;bmo;2.88;2.06;39.6
2023-08-01;bmo;2.85;2.5;13.89
2023-11-03;bmo;2.56;1.96;30.68
2024-02-06;bmo;3.04;2.83;7.51
2024-04-30;bmo;2.93;2.54;15.28
2024-07-30;bmo;3.22;3.03;6.44
2024-11-05;bmo;5.32;2.72;95.46
2025-02-04;bmo;5.11;2.93;74.26
2025-05-06;bmo;2.71;2.51;8.17
2025-08-05;bmo;3.53;3.31;6.8
2025-11-04;bmo;0.47;2.12;-77.88
2026-02-03;bmo;3.36;3.2;4.9
