date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-29;amc;0.88;0.78;12.39
2020-04-22;amc;-0.03;-0.14;78.86
2020-07-22;amc;-1.05;-0.8;-30.85
2020-10-21;amc;-0.67;-0.72;6.86
2021-01-27;amc;-0.37;-0.35;-7.0
2021-04-21;amc;-0.25;-0.25;1.78
2021-07-21;amc;-0.26;-0.17;-49.29
2021-10-20;amc;-0.45;-0.26;-74.2
2022-01-26;amc;-0.22;-0.23;6.08
2022-04-27;amc;-0.4;-0.24;-64.12
2022-07-20;amc;-0.34;-0.29;-18.55
2022-10-19;amc;-0.27;-0.25;-7.61
2023-01-25;amc;-0.19;-0.09;-101.16
2023-04-19;amc;0.28;0.2;37.3
2023-07-19;amc;0.46;0.43;6.66
2023-10-18;amc;0.55;0.55;-0.12
2024-01-24;amc;0.57;0.61;-6.51
2024-04-17;amc;0.75;0.62;21.79
2024-07-24;amc;0.55;0.56;-2.19
2024-10-23;amc;0.44;0.53;-17.22
2025-01-29;amc;0.54;0.58;-6.34
2025-04-23;amc;0.59;0.57;3.78
2025-07-23;amc;0.79;0.53;48.88
2025-10-22;amc;0.78;0.62;25.37
2026-01-28;amc;0.85;0.77;10.53
2026-04-22;amc;0.91;0.76;20.05
