date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-11;bmo;0.54;0.53;1.0
2020-04-29;bmo;0.46;0.35;29.63
2020-07-30;bmo;0.84;0.69;21.11
2020-10-28;bmo;1.04;0.78;33.16
2021-02-09;bmo;0.75;0.74;0.86
2021-04-28;bmo;0.89;0.66;34.53
2021-07-29;bmo;1.14;1.03;10.26
2021-10-27;bmo;0.99;0.88;12.37
2022-02-08;bmo;0.67;0.69;-2.39
2022-04-27;bmo;0.95;0.85;12.23
2022-07-28;bmo;1.14;1.18;-3.3
2022-10-26;bmo;0.98;1.06;-7.58
2023-02-09;bmo;0.65;0.68;-4.65
2023-04-26;bmo;0.87;0.63;38.3
2023-07-27;bmo;1.19;0.96;23.65
2023-10-26;bmo;1.0;0.92;9.29
2024-02-08;bmo;0.83;0.66;26.52
2024-04-24;bmo;0.93;0.88;5.23
2024-07-25;bmo;1.2;1.18;1.91
2024-10-29;bmo;0.77;1.1;-29.9
2025-02-11;bmo;0.89;0.87;1.94
2025-04-23;bmo;0.87;0.91;-4.81
2025-07-31;bmo;1.3;1.08;20.71
2025-10-29;bmo;0.9;1.03;-12.85
2026-02-10;bmo;0.82;0.79;3.21
2026-04-22;bmo;1.04;0.88;18.36
