date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-19;amc;0.91;0.87;4.5
2020-04-28;amc;0.97;0.91;6.7
2020-07-28;amc;0.85;0.79;7.93
2020-10-27;amc;0.8;0.62;29.39
2021-02-23;amc;0.98;0.86;13.92
2021-04-26;amc;0.9;0.87;3.15
2021-07-27;amc;0.94;0.9;4.03
2021-10-26;amc;0.94;0.91;3.08
2022-02-15;amc;1.21;1.1;9.8
2022-05-03;amc;0.93;0.9;3.33
2022-08-09;amc;1.35;1.2;12.34
2022-11-08;amc;1.0;0.92;8.84
2023-02-28;amc;1.32;1.18;12.34
2023-05-09;amc;0.87;0.83;4.28
2023-08-08;amc;0.62;0.64;-3.34
2023-11-07;amc;0.63;0.59;7.46
2024-02-27;amc;1.25;0.95;31.58
2024-05-07;amc;0.77;0.7;9.41
2024-08-06;amc;0.86;0.77;12.42
2024-11-05;amc;0.86;0.84;2.79
2025-02-25;amc;1.8;1.43;26.32
2025-05-06;amc;1.36;1.22;11.34
2025-08-05;amc;1.33;1.22;8.79
2025-11-04;amc;1.32;1.2;9.89
2026-02-27;bmo;1.23;1.29;-4.65
