date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-04;bmo;3.81;3.49;9.21
2020-05-20;bmo;4.27;4.1;4.04
2020-08-03;bmo;2.77;2.39;15.96
2020-11-03;bmo;4.8;3.88;23.69
2021-02-02;bmo;4.6;4.13;11.38
2021-05-06;amc;5.05;5.05;0.06
2021-08-03;amc;5.56;4.14;34.3
2021-11-01;amc;6.15;4.66;32.02
2022-02-02;amc;6.15;5.42;13.55
2022-05-05;amc;5.83;6.04;-3.55
2022-08-03;amc;5.83;5.3;10.08
2022-11-01;amc;6.06;6.1;-0.65
2023-02-01;amc;6.9;6.36;8.45
2023-05-08;amc;7.19;7.12;0.93
2023-08-02;amc;7.27;5.87;23.89
2023-11-01;amc;6.23;6.15;1.33
2024-02-07;amc;7.74;7.05;9.79
2024-05-07;amc;6.18;6.36;-2.77
2024-08-07;during;7.88;7.21;9.3
2024-11-06;amc;7.07;6.87;2.9
2025-02-05;amc;8.03;7.99;0.47
2025-05-08;amc;10.12;9.83;2.98
2025-08-06;amc;8.26;8.15;1.39
2025-11-05;amc;9.86;9.05;8.94
2026-02-04;amc;9.34;9.27;0.71
