date;timing;eps_actual;eps_estimated;surprise_pct
2020-03-17;amc;-0.25;-0.28;10.11
2020-06-04;amc;-0.13;-0.25;46.95
2020-09-02;amc;-0.22;-0.4;44.41
2020-12-08;amc;-0.31;-0.44;30.05
2021-03-09;amc;-0.33;-0.39;14.93
2021-06-03;amc;-0.15;-0.36;58.33
2021-09-02;amc;-0.24;-0.4;40.27
2021-12-06;amc;-0.11;-0.38;70.89
2022-03-08;amc;-0.09;-0.21;57.32
2022-06-01;amc;0.2;-0.1;305.21
2022-08-31;amc;-0.23;-0.28;18.67
2022-12-06;amc;0.23;-0.17;236.65
2023-03-08;amc;0.57;0.08;656.57
2023-06-01;amc;0.56;0.19;195.3
2023-08-31;amc;0.93;0.45;105.68
2023-12-05;amc;0.96;0.5;93.52
2024-03-07;amc;0.86;0.47;82.61
2024-05-30;amc;0.51;0.37;36.46
2024-08-29;amc;0.7;0.48;44.41
2024-12-09;amc;1.16;0.69;68.93
2025-03-05;amc;1.28;0.67;91.05
2025-06-04;amc;1.0;0.66;51.96
2025-08-26;amc;1.0;0.66;52.39
2025-12-01;amc;1.32;0.79;66.91
2026-03-02;amc;1.65;1.47;12.08
